Word                        Count  
allor                       3      
allora                      27     
allorchè                    3      
allordine                   1      
allorecchio                 8      
allorlo                     3      
allungando                  2      
allungava                   1      
allungò                     1      
alluscio                    6      
allusciolino                1      
almeno                      5      
almenoalmeno                1      
alquanto                    1      
alta                        10     
altezza                     4      
altissimo                   1      
alto                        5      
altra                       2      
altre                       6      
altresì                     1      
altri                       16     
altrimenti                  5      
altro                       24     
altrove                     1      
altrui                      2      
alzandosi                   1      
alzarono                    1      
alzavano                    1      
alzerò                      1      
alzò                        4      
ama                         1      
amarae                      1      
amare                       1      
amerebbe                    1      
amichevolmente              1      
amici                       1      
amico                       1      
ammalate                    2      
ammasso                     1      
ammazzare                   1      
amore                       1      
amoreè                      2      
amorini                     1      
anche                       13     
anchio                      1      
ancora                      13     
ancorchè                    2      
andai                       1      
andando                     3      
andar                       2      
andare                      10     
andarono                    3      
andarsene                   1      
andasse                     2      
andata                      1      
andate                      5      
andato                      2      
andava                      11     
andavamo                    3      
andavano                    3      
andiamo                     2      
andito                      1      
andranno                    1      
andremo                     2      
andrà                       1      
andrò                       3      
andò                        16     
anelante                    2      
anelanti                    1      
angoli                      1      
angolo                      1      
angosce                     1      
angosciato                  1      
angusto                     1      
animali                     2      
animalucci                  1      
animaluccio                 1      
animo                       1      
animò                       1      
anni                        3      
anno                        3      
annoia                      2      
annoiata                    1      
ansietà                     7      
ansiosamente                6      
antica                      1      
antipatie                   1      
anzi                        1      
aperta                      1      
apertamente                 2      
aperto                      1      
apice                       1      
apparecchiata               2      
apparecchiate               1      
apparenel                   1      
apparire                    1      
apparisca                   1      
appariscano                 1      
apparissero                 1      
apparite                    1      
appartenesse                2      
appartiene                  1      
apparve                     2      
appassite                   1      
appellarono                 1      
appena                      22     
appianare                   1      
appiccicate                 1      
applaudirono                2      
applauso                    2      
appoggiando                 3      
appoggiandolo               1      
appoggiandosi               1      
appoggiatela                1      
appoggiato                  3      
appoggiava                  1      
appoggiò                    1      
appresso                    3      
approdiamo                  1      
appunto                     3      
aprendo                     1      
aprir                       2      
aprire                      2      
aprirlo                     1      
aprirne                     1      
aprì                        8      
aquilotto                   1      
archi                       3      
arcigno                     1      
arciprofondo                1      
ardito                      1      
ardì                        1      
argomenti                   1      
argomento                   4      
arguiscono                  1      
aria                        5      
aritmetica                  1      
armati                      1      
armenti                     1      
arrabbiato                  2      
arrampicarsi                1      
arricciato                  1      
arriva                      1      
arrivanooh                  1      
arrivarla                   1      
arriveranno                 1      
arrosto                     1      
arruffata                   3      
arruffato                   1      
asce                        1      
asciugati                   1      
ascoltare                   2      
ascoltato                   1      
ascoltino                   1      
aspettano                   1      
aspettar                    1      
aspettare                   3      
aspettasse                  1      
aspettavano                 1      
aspettiamo                  1      
aspetto                     1      
aspettò                     10     
aspraè                      1      
assaggiarne                 1      
assai                       17     
assaporarne                 1      
assassinando                1      
assassinio                  1      
asse                        1      
assistere                   1      
assomiglierei               1      
assottigliae                1      
assottigliava               1      
assumendo                   1      
astro                       4      
attaccano                   1      
attaccarono                 1      
attaccato                   2      
attacchi                    1      
attacco                     2      
attenzione                  6      
attese                      2      
attimo                      3      
atto                        1      
attorno                     3      
attraente                   1      
attristò                    1      
audace                      1      
austera                     2      
autorevole                  3      
autorità                    2      
avantdeux                   2      
avanti                      2      
avanziamo                   1      
avea                        41     
avean                       1      
aveano                      2      
avendo                      3      
avendoli                    1      
aver                        8      
averci                      1      
avere                       4      
averla                      1      
averlo                      1      
averne                      1      
avesse                      17     
avesser                     1      
avessero                    1      
avessi                      2      
aveste                      1      
avete                       12     
aveva                       33     
avevano                     4      
avevate                     4      
avevo                       2      
avrebbe                     10     
avrebbero                   1      
avrei                       3      
avreste                     2      
avrò                        1      
avuto                       5      
avvedendosi                 1      
avvedersene                 1      
avvedesse                   1      
avvedutezza                 1      
avvenne                     1      
avventarono                 1      
avventato                   1      
avventure                   6      
avventurò                   1      
avverrebbe                  3      
avverrà                     1      
avvertimento                2      
avvicinarsi                 2      
avvicinarvisi               1      
avvicinatevi                1      
avvicinati                  1      
avvicinato                  1      
avvicinava                  2      
avvicinavano                1      
avvicinossi                 1      
avvicinò                    2      
avviluppato                 1      
avviluppò                   1      
b                           1      
babbo                       3      
babelle                     1      
baciarmi                    1      
baciavano                   1      
baciò                       1      
bada                        3      
badare                      3      
badasse                     2      
badato                      1      
badò                        1      
baffi                       2      
bagnata                     1      
bagni                       2      
baiocco                     1      
balancé                     1      
balbettò                    1      
ballare                     4      
ballo                       2      
ballocotanto                1      
bambina                     4      
bambini                     1      
bambino                     7      
bambinopria                 1      
bassa                       7      
basse                       1      
basta                       3      
bastantemente               1      
bastare                     1      
basterebbe                  1      
basterà                     1      
bastoni                     1      
battagliando                1      
battendo                    3      
battere                     3      
batterle                    1      
battuto                     2      
beandoli                    1      
beati                       1      
becco                       2      
bel                         10     
bella                       9      
belle                       6      
bellezza                    1      
belli                       2      
bellificazione              1      
bellino                     1      
bellissimo                  3      
bello                       2      
ben                         9      
benchè                      5      
bene                        42     
benenon                     1      
benino                      4      
benissimo                   2      
benissimoin                 1      
bentosto                    3      
bere                        5      
bestia                      4      
bestiaccie                  1      
bestie                      7      
bestiolina                  4      
bestioline                  2      
bevi                        4      
bevo                        1      
bevuto                      2      
bianca                      2      
bianche                     2      
bianchi                     5      
bianco                      20     
bimba                       4      
bimbo                       12     
birbe                       1      
bis                         1      
bisbigliasse                1      
bisbiglio                   1      
bisbigliò                   7      
bislunghi                   1      
bisogna                     6      
bisognerebbe                2      
bisognerà                   1      
bisogno                     2      
bisticciasse                1      
bisticciati                 1      
bisticcio                   1      
bizzarrafiguratevi          1      
bocca                       14     
bocche                      1      
bocconcello                 1      
bocconcino                  1      
boja                        8      
bonta                       2      
bontà                       1      
borbottando                 1      
borbottare                  2      
borbottò                    1      
bottiglia                   2      
botto                       1      
braccetto                   2      
braccia                     5      
braccio                     11     
bramerei                    1      
breve                       3      
bricco                      1      
briciolo                    2      
briga                       1      
brilla                      1      
brillare                    1      
brivido                     1      
broncio                     1      
brontola                    1      
brontolando                 1      
brontolare                  1      
brontolo                    1      
bruco                       30     
bruttificare                1      
bruttificazione             3      
bruttissima                 1      
bruttissimo                 1      
brutto                      2      
buca                        3      
bucato                      2      
buco                        1      
buja                        1      
bujo                        2      
bulbi                       1      
buon                        3      
buona                       9      
buone                       2      
buoni                       1      
buonissimi                  1      
buono                       4      
burbera                     1      
burbero                     1      
burrati                     1      
burro                       9      
busca                       1      
buttandole                  1      
buttati                     1      
buttò                       1      
bòtte                       1      
c                           1      
caccerete                   1      
caccia                      2      
cacciare                    1      
cacciarlo                   1      
cacciarmi                   1      
cacciata                    1      
cacciato                    1      
cacciò                      2      
cadde                       4      
caddero                     1      
cadente                     1      
cader                       1      
cadere                      4      
cadessi                     1      
cadeva                      1      
caduta                      6      
cadute                      2      
caduti                      3      
caduto                      1      
cagnolino                   5      
calamajo                    1      
calcio                      2      
caldaia                     1      
calderone                   2      
cale                        1      
calpesta                    1      
calpestata                  1      
calpestìo                   1      
calze                       1      
cameretta                   1      
cameriera                   1      
caminetto                   4      
caminettoio                 1      
camini                      1      
camino                      2      
cammina                     1      
camminando                  1      
camminano                   1      
camminar                    1      
camminare                   1      
camminava                   1      
camomilla                   1      
campanelli                  1      
campo                       3      
canarino                    1      
canavaccio                  1      
canbassetto                 1      
candela                     2      
candido                     1      
cane                        2      
cani                        3      
canneil                     1      
cannocchiale                3      
canta                       1      
cantaci                     1      
cantando                    1      
cantanti                    2      
cantarcela                  1      
cantare                     3      
cantate                     1      
cantava                     2      
canterà                     1      
canto                       9      
cantonata                   1      
cantonatagiurammio          1      
cantoneno                   1      
cantoo                      2      
cantò                       1      
canzona                     4      
capelli                     4      
capellie                    1      
capir                       1      
capire                      1      
capirla                     1      
capirà                      1      
capisce                     2      
capisco                     2      
capitale                    2      
capitato                    1      
capite                      4      
capitolo                    12     
capitombolarono             1      
capitombolo                 2      
capitò                      2      
capo                        46     
capoquà                     1      
capovolto                   1      
cappellai                   1      
cappellaio                  56     
cappello                    1      
capriola                    1      
caprïola                    1      
capì                        1      
cara                        9      
carattere                   1      
caratteri                   1      
cardo                       2      
carezze                     1      
carezzee                    1      
carezzevole                 3      
cariche                     1      
carico                      1      
carina                      3      
carinasta                   1      
carini                      1      
carino                      1      
caro                        2      
carrettata                  2      
carri                       1      
carte                       3      
cartello                    4      
cartone                     1      
casa                        21     
casca                       2      
cascata                     1      
cascato                     2      
caschi                      1      
cascò                       2      
case                        1      
casettina                   3      
casi                        2      
caso                        6      
casotti                     1      
casseruola                  1      
casseruole                  1      
cassettina                  1      
casualmente                 1      
casuccia                    1      
catino                      1      
cattivo                     1      
causa                       5      
cautamente                  3      
cavaliere                   1      
cavallo                     1      
cavatevi                    1      
cavò                        2      
ce                          8      
cedrïuolo                   1      
ceffo                       1      
cenerino                    1      
cenno                       2      
centesimi                   2      
centrava                    1      
centrerebbero               1      
centro                      1      
cera                        18     
cerano                      3      
cerca                       2      
cercai                      1      
cercando                    3      
cercare                     2      
cercassi                    1      
cercate                     1      
cercato                     1      
cercava                     2      
cercavano                   1      
cercherà                    1      
cerchi                      1      
cercò                       10     
cerimoniale                 1      
certa                       6      
certamente                  1      
certe                       1      
certi                       3      
certo                       26     
cervel                      1      
cervello                    4      
cessare                     1      
cessò                       1      
cetrioli                    2      
chabbia                     1      
chaltro                     1      
chatte                      1      
chavea                      1      
che                         600    
chebbe                      2      
checchè                     1      
chegli                      3      
chella                      5      
chera                       11     
cherano                     7      
chi                         40     
chiama                      2      
chiamano                    1      
chiamare                    1      
chiamate                    3      
chiamato                    1      
chiamavamo                  2      
chiamavano                  1      
chiamavate                  1      
chiami                      1      
chiamino                    1      
chiamo                      1      
chiamò                      3      
chiaramente                 2      
chiare                      1      
chiaro                      1      
chiave                      1      
chiavettina                 8      
chiedo                      2      
chiese                      1      
chiesto                     1      
chio                        12     
chiodi                      1      
chiunque                    3      
chiuse                      2      
chiusi                      2      
chiuso                      2      
choramai                    1      
chè                         8      
ci                          21     
ciarlando                   1      
ciascuna                    1      
cica                        1      
ciel                        1      
cielo                       3      
ciera                       1      
cifre                       1      
cigolìo                     1      
ciliegie                    1      
cime                        1      
cingo                       1      
cinguettare                 1      
cinquanta                   1      
cinque                      8      
cinsegnava                  2      
ciocche                     1      
cioè                        3      
cipiglio                    1      
cipolle                     1      
circa                       2      
circolo                     3      
circondare                  1      
circondati                  1      
circondava                  1      
circondavano                1      
citava                      1      
civetta                     1      
civile                      3      
civilezuppa                 1      
civiltà                     1      
ciò                         76     
ciògli                      1      
classiche                   1      
clelia                      1      
co                          5      
coccodrilli                 1      
coccodrillo                 1      
coda                        17     
codesto                     1      
cogliere                    1      
cognizioni                  1      
coi                         1      
col                         39     
colaggiù                    2      
colavano                    1      
colle                       1      
collera                     2      
collo                       8      
colombo                     13     
colorendo                   1      
colorirle                   1      
coloro                      4      
colpevole                   1      
colpi                       1      
colpirono                   1      
colpita                     1      
colpo                       2      
colpì                       2      
colse                       5      
coltello                    2      
colà                        3      
comanda                     1      
comandano                   1      
comandare                   1      
comandata                   1      
comare                      1      
combattimento               1      
come                        114    
comella                     1      
comera                      1      
comhai                      1      
cominci                     1      
comincia                    7      
cominciando                 1      
cominciar                   1      
cominciare                  6      
cominciarono                5      
cominciasse                 1      
cominciate                  2      
cominciato                  6      
cominciava                  5      
cominciò                    23     
comitiva                    1      
commedia                    2      
commossa                    1      
comodissimo                 1      
compare                     2      
comparve                    1      
comparvero                  1      
compassione                 2      
compitarlo                  1      
comporne                    1      
composta                    1      
composte                    1      
comprare                    1      
comprarne                   1      
comprendere                 1      
comprendo                   2      
comprendonio                1      
comune                      3      
comunicarle                 1      
comunque                    1      
con                         219    
concava                     1      
conceda                     1      
concerto                    2      
concesso                    1      
condannata                  1      
condannati                  2      
condannato                  1      
conducete                   1      
conducetela                 1      
conduceva                   1      
confetti                    3      
conficcava                  1      
confido                     1      
confonde                    1      
conformati                  1      
confusa                     3      
confusamente                1      
confusi                     1      
confusione                  8      
confuso                     2      
congiunte                   1      
conigli                     1      
conigliera                  3      
coniglieraeppureeppurelè    1      
coniglio                    48     
conigliogianni              1      
conosce                     1      
conoscesse                  3      
conosceva                   3      
conosciuti                  1      
conosco                     2      
consegnate                  1      
conserte                    4      
conserva                    1      
conservare                  1      
conservareal                1      
conservato                  1      
considerare                 1      
consigli                    2      
consiglieri                 1      
consiglio                   1      
consisteva                  2      
consultar                   1      
consultarono                1      
contando                    2      
contarne                    1      
contegno                    1      
conteneva                   1      
contenta                    7      
contentarli                 1      
contento                    2      
contenuto                   1      
contiene                    1      
continua                    1      
continuagià                 1      
continuare                  2      
continuate                  2      
continuava                  5      
continui                    1      
continuò                    41     
contorcersi                 1      
contraddanza                6      
contraddanze                1      
contraddetta                1      
contraddetto                1      
contrastano                 1      
contrastata                 1      
contro                      10     
convengaa                   1      
convenientemente            1      
convenirne                  1      
conveniva                   1      
converrebbe                 1      
converrà                    1      
conversazione               7      
convertivano                1      
convien                     1      
convieni                    1      
coperti                     1      
coperto                     1      
coppie                      1      
coraggio                    1      
coraggiosa                  1      
corinto                     1      
coro                        7      
corona                      2      
corpicciuoli                1      
corpo                       3      
correndo                    2      
correndogli                 2      
correr                      1      
correre                     6      
correttamente               2      
correva                     1      
corri                       1      
corridoio                   3      
corrucciata                 1      
corsa                       6      
corse                       3      
corsero                     2      
corsi                       1      
corso                       2      
corte                       2      
cortese                     1      
cortigiani                  2      
cortina                     1      
corvi                       1      
corvo                       1      
cosa                        68     
cosapiù                     1      
cose                        22     
cosettinenon                1      
costa                       1      
costei                      1      
costoro                     1      
costorociò                  1      
costì                       3      
così                        63     
cotanto                     1      
cotesta                     2      
coteste                     4      
cotesto                     2      
cotestoro                   1      
covar                       1      
cranio                      1      
creanza                     2      
creatura                    1      
creature                    3      
creaturina                  2      
creaturine                  1      
crebbe                      2      
crede                       1      
credea                      2      
credendo                    1      
credenza                    1      
credenze                    1      
crederanno                  2      
credere                     2      
crederei                    1      
credermi                    1      
credete                     1      
credette                    3      
credeva                     1      
credi                       2      
crediate                    2      
credo                       16     
credochi                    1      
creduto                     1      
crema                       1      
cresce                      1      
crescendo                   3      
crescere                    8      
crescerò                    2      
crescete                    1      
cresceva                    3      
cresciuta                   4      
cresciuto                   1      
cresco                      1      
cri                         2      
cricch                      1      
crisalidee                  1      
cristallo                   6      
crollò                      1      
croquet                     10     
crostini                    1      
crude                       1      
cucchiaino                  1      
cucchiaion                  1      
cucciolo                    2      
cucina                      4      
cui                         10     
cullare                     1      
cuoca                       12     
cuoco                       1      
cuore                       3      
cuori                       7      
cuoriivi                    1      
curiosa                     6      
curiose                     2      
curiosetto                  1      
curiosi                     1      
curiosissima                1      
curiosissimo                2      
curiosità                   7      
curioso                     12     
curvarlo                    1      
curvati                     1      
curvatura                   1      
cuscino                     1      
cè                          21     
da                          87     
dacchiappare                1      
dacconsentire               1      
daccusa                     1      
dacqua                      1      
dafferrar                   1      
dafferrarlo                 1      
dagli                       2      
dai                         1      
dal                         29     
dalbero                     1      
dalice                      9      
dalla                       17     
dalladria                   1      
dallansietà                 1      
dalle                       6      
dallira                     1      
dallora                     3      
dalluscioah                 1      
dalmaziafaremo              1      
daltezza                    7      
daltri                      1      
damore                      1      
dananasso                   1      
dandare                     3      
dando                       1      
dandogli                    1      
dangoscia                   1      
dansietà                    2      
dante                       1      
danza                       1      
danzare                     3      
dapprovazione               1      
daprirne                    1      
darance                     1      
darcene                     1      
darchi                      1      
dare                        1      
darei                       1      
dargli                      1      
darle                       1      
darò                        1      
dassopimento                1      
date                        2      
dato                        6      
dava                        2      
davano                      1      
davanti                     7      
daver                       4      
daverci                     1      
davere                      1      
daverla                     2      
davermi                     1      
davvero                     30     
de                          31     
debbessere                  2      
debbo                       5      
debbon                      1      
debbonessere                1      
debole                      3      
debolmente                  1      
decapitatela                1      
decapitati                  1      
decapitato                  1      
decapiteranno               1      
decollato                   1      
deferenza                   1      
degli                       8      
deglindovinellicredo        1      
dei                         10     
del                         83     
delicate                    1      
delicatezza                 3      
delicati                    1      
delitto                     3      
deliziainnanzi              1      
deliziosa                   2      
delizioso                   1      
della                       80     
dellampolla                 2      
dellapparenza               1      
dellaritmeticaambizione     1      
dellassenza                 1      
delle                       29     
dellessere                  1      
dellestate                  1      
delletà                     2      
dellidea                    1      
dello                       3      
delloriuolo                 1      
delluscio                   1      
delusa                      1      
denti                       3      
dentrare                    1      
dentro                      12     
dentroun                    1      
depose                      4      
derelitta                   1      
derisione                   1      
desiderasse                 1      
desiderato                  1      
desidererei                 1      
desiderò                    1      
desinare                    1      
desinaruccio                1      
desolanteavrebbe            1      
dessa                       1      
desser                      4      
dessere                     4      
dessi                       1      
desso                       1      
deste                       1      
destra                      4      
destrezzadavver             1      
destro                      2      
destà                       1      
detesti                     1      
dette                       4      
detto                       8      
deve                        1      
devessere                   1      
devi                        2      
devo                        3      
devono                      1      
di                          526    
dia                         1      
dialoghi                    2      
diamanti                    1      
diamine                     1      
dianzi                      4      
dica                        6      
dice                        4      
dicea                       1      
dicendo                     7      
dicendomi                   1      
dicesse                     1      
diceste                     1      
dicesti                     1      
diceva                      14     
dicevano                    1      
dicevate                    1      
dico                        4      
dicoe                       1      
dieci                       6      
dietro                      14     
difetto                     1      
difficile                   4      
difficilequà                1      
difficoltà                  6      
dilatati                    1      
dileguandosi                1      
diletta                     1      
dilungata                   1      
dimbarazzi                  1      
dimenare                    1      
dimenticando                2      
dimenticata                 2      
dimenticate                 2      
dimenticato                 4      
dimessa                     1      
diminuire                   1      
diminuiva                   1      
dimmi                       2      
dimora                      1      
dimoravano                  1      
dimpazienza                 2      
dimportante                 2      
din                         1      
dina                        15     
dincontrare                 1      
dindia                      6      
dinsegnargli                1      
dintendere                  1      
dinterrompere               1      
dintorni                    1      
dintorno                    1      
dinverno                    1      
dipende                     1      
dir                         5      
dirai                       1      
dire                        26     
direbbe                     1      
direi                       1      
direio                      1      
diresse                     2      
direste                     1      
direzioni                   1      
dirgli                      1      
dirigersi                   1      
diritto                     2      
dirle                       1      
dirlo                       2      
dirmi                       3      
dirne                       1      
dirvene                     1      
dirvi                       1      
dirvinon                    1      
dirà                        1      
dirò                        3      
discernere                  1      
discesa                     1      
discese                     1      
discorrendo                 3      
discorrere                  1      
discorreva                  1      
discorso                    7      
discussione                 1      
disdegno                    2      
disdegnoil                  1      
disdegnosa                  1      
disegno                     1      
disfarlo                    1      
disparire                   1      
disparve                    1      
disperata                   2      
disperatamente              1      
disperato                   1      
disperazione                1      
dispetto                    3      
dispettosa                  1      
dispiace                    1      
dispiacesse                 1      
disposto                    1      
disprezzo                   3      
disse                       278    
dissegli                    1      
dissero                     2      
dissi                       4      
distaccarsela               1      
distanza                    5      
distinguere                 1      
distrazione                 1      
distribuirà                 1      
distribuì                   1      
disturbo                    1      
disubbidire                 1      
ditale                      4      
dite                        7      
ditemelo                    1      
dito                        6      
divenne                     1      
diventare                   1      
diventata                   2      
diventato                   1      
diventerà                   1      
diventò                     2      
diverrà                     1      
diversa                     1      
diverse                     2      
diversi                     1      
diverso                     3      
divertiremo                 1      
divisi                      1      
divorare                    1      
divorata                    2      
divorò                      2      
diè                         6      
diêro                       1      
diêrociò                    1      
documento                   1      
dodici                      4      
doffendere                  1      
dogni                       3      
doh                         1      
dolore                      1      
domanda                     10     
domandacome                 1      
domandare                   1      
domandartene                1      
domandato                   1      
domandava                   1      
domande                     1      
domandee                    1      
domanderò                   1      
domando                     3      
domandò                     40     
domani                      2      
donde                       1      
donnaconservare             1      
donnole                     2      
dopo                        28     
doppiamente                 1      
dora                        1      
dorati                      2      
dorme                       1      
dormente                    1      
dormire                     1      
dormitona                   1      
dormiva                     3      
dormo                       2      
doro                        6      
dove                        12     
dovea                       5      
doveano                     1      
dovella                     1      
dovera                      2      
dovesse                     2      
dovessero                   1      
dovessi                     1      
dovette                     6      
dovettero                   1      
dovetti                     1      
doveva                      2      
dovevate                    2      
dovevi                      1      
dovranno                    1      
dovrebbe                    6      
dovrei                      5      
dovreste                    3      
dovresti                    2      
dovrà                       2      
dovrò                       3      
dovunque                    2      
dovuto                      3      
dovè                        2      
dritto                      1      
dronte                      13     
dubbio                      4      
dubbiosa                    1      
dubbiouna                   1      
dubitando                   1      
duccelli                    1      
duchessa                    43     
due                         39     
dumore                      1      
dun                         13     
duna                        10     
dunostrica                  1      
dunque                      15     
duodecimo                   1      
duole                       1      
durante                     1      
duro                        2      
duscir                      2      
duscire                     1      
duscirne                    1      
dà                          1      
dàgli                       1      
dètte                       2      
dètti                       2      
dì                          3      
dìlle                       2      
dìmmi                       1      
dò                          2      
e                           833    
ebbe                        6      
ebbene                      7      
ebbero                      1      
ebbi                        3      
eccellente                  1      
eccettuati                  1      
eccitare                    1      
eccitò                      1      
ecco                        17     
eccomi                      4      
eccotelo                    1      
eccoti                      1      
ed                          74     
educate                     1      
ee                          1      
effetto                     2      
egli                        11     
eh                          8      
ei                          11     
elce                        1      
elefante                    1      
elevato                     1      
ella                        45     
en                          1      
energici                    1      
enfasi                      1      
enorme                      1      
enormemente                 1      
entrambe                    1      
entrambi                    6      
entrar                      2      
entrare                     5      
entrasse                    1      
entrata                     2      
entrate                     1      
entrerai                    1      
entrerò                     2      
entrò                       5      
eoimè                       1      
eppoi                       1      
eppur                       2      
eppure                      8      
equilibriosul               1      
era                         122    
erano                       28     
eravamo                     1      
ero                         2      
erudizione                  2      
esaminar                    1      
esaminate                   1      
eseguire                    1      
eseguirla                   1      
esempio                     4      
esisteva                    1      
esperimenti                 1      
espressione                 1      
esprimersi                  1      
essa                        14     
esse                        5      
essendo                     1      
essendosi                   1      
esser                       8      
esserci                     1      
essere                      20     
esseri                      1      
esserla                     1      
essersi                     1      
essi                        8      
essidissenon                1      
esso                        4      
est                         1      
estrasse                    1      
estremità                   2      
evitare                     1      
extra                       2      
fa                          15     
faccende                    2      
faccia                      25     
facciae                     1      
facciamo                    3      
faccie                      1      
facendo                     6      
facendogli                  1      
facendosi                   1      
facessero                   1      
faceva                      4      
facevate                    1      
facile                      1      
facilmente                  1      
fafa                        1      
fai                         3      
falsa                       1      
falsatartaruga              1      
falsatestuggine             51     
fame                        1      
famiglia                    1      
familiarmente               1      
fanciulla                   11     
fanciulle                   1      
fanciullezza                1      
fanciullezzaraccogliere     1      
fanciulli                   1      
fanno                       5      
fannooimè                   1      
fantasticando               1      
fantasticare                1      
fante                       9      
far                         18     
faranno                     3      
farci                       1      
fare                        30     
farebbe                     3      
farebbero                   1      
farei                       4      
fareste                     3      
faresti                     1      
farfalla                    1      
farla                       2      
farle                       1      
farlo                       7      
farmi                       1      
farne                       3      
farsi                       3      
farvi                       1      
farà                        9      
farò                        8      
fatal                       1      
fate                        7      
fateci                      1      
fatta                       5      
fatti                       2      
fatto                       16     
fattooh                     1      
fattore                     1      
fattoria                    1      
favore                      1      
fece                        14     
fecero                      3      
fendette                    1      
fenicònteri                 2      
fenicòntero                 6      
fermarlo                    1      
fermarono                   2      
fermarsi                    2      
fermatevi                   1      
fermezza                    1      
fermò                       1      
feroce                      2      
ferocemente                 1      
feroci                      1      
ferrata                     1      
ferrovia                    1      
fetta                       2      
fettata                     1      
fia                         1      
fiacche                     1      
fiamma                      2      
fianchi                     1      
fianco                      1      
fiato                       2      
fiatò                       2      
ficca                       1      
ficcò                       1      
fidanza                     1      
fiera                       1      
fieramente                  4      
figli                       2      
figlia                      1      
figliuolo                   1      
figura                      3      
figurarsi                   2      
figuratevi                  1      
figurati                    1      
figuri                      1      
fila                        2      
filastrocca                 1      
finalmente                  18     
fine                        7      
finestra                    8      
fingersi                    1      
finire                      3      
finirla                     2      
finirlo                     1      
finirà                      1      
finisca                     3      
finissero                   1      
finita                      2      
finito                      6      
finì                        3      
fioca                       1      
fiori                       5      
firma                       1      
firmato                     2      
fissamente                  2      
fissarono                   1      
fissata                     1      
fissi                       1      
fiume                       1      
fo                          2      
foche                       1      
focolare                    2      
foglie                      6      
foglio                      6      
folla                       4      
follemente                  1      
fondamenta                  1      
fondo                       7      
fontane                     2      
forbì                       1      
foresta                     8      
forestalo                   1      
forma                       3      
formò                       1      
fornello                    1      
forse                       26     
forsele                     1      
forte                       3      
forza                       3      
fosse                       40     
fossero                     6      
fossi                       4      
foste                       1      
fra                         53     
fracasso                    2      
fradice                     1      
francese                    4      
franco                      2      
frase                       3      
fratello                    1      
frattempi                   1      
fresche                     2      
freschi                     1      
fretta                      11     
frettolosamente             5      
frettoloso                  1      
friggere                    1      
frittura                    1      
fronte                      1      
frontespizio                1      
frulla                      1      
fu                          29     
fuggevole                   1      
fuggito                     1      
fuggiva                     1      
fuggì                       5      
fui                         1      
fumando                     1      
fumi                        1      
fummo                       1      
fumo                        1      
funema                      1      
fungo                       9      
fuoco                       1      
fuori                       21     
furia                       2      
furie                       1      
furietta                    3      
furiosa                     2      
furiosamente                6      
furioso                     2      
furon                       1      
furono                      3      
fusa                        2      
fuso                        1      
fè                          2      
g                           1      
